rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Buzza Pizza - Nowzone,"Tầng 4,  Tầng 4 Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",10:30 - 21:00,49.000 - 159.000,7.2,7.2,7.0,7.0,7.5,7.3,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Tàu Hủ Xe Lam - Phùng Văn Cung,"70 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",12:00 - 23:00,17.000 - 25.000,6.9,7.3,7.3,7.0,6.4,6.7,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam
San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",07:00 - 21:30,30.000 - 190.000,7.4,7.5,6.5,7.4,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long
Ếch Xanh - Nguyễn Cảnh Chân,"371D Nguyễn Cảnh Chân, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",10:00 - 23:00,80.000 - 330.000,6.5,7.1,6.5,6.0,6.0,6.8,https://www.foody.vn/ho-chi-minh/ech-xanh
Tàu Hủ Xe Lam - Bửu Long,"B1B Bửu Long, P.15, Quận 10, TP. HCM",11:00 - 20:30,10.000 - 25.000,6.8,6.7,7.0,6.6,6.7,7.2,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long
San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",07:45 - 22:00,30.000 - 190.000,7.6,7.7,6.9,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang
Ếch Xanh - Hồ Xuân Hương,"55A Hồ Xuân Hương, P. Võ Thị Sáu, Quận 3, TP. HCM",10:30 - 22:00,100.000 - 330.000,6.8,7.4,6.7,6.1,6.5,7.2,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong
Tàu Hủ Xe Lam - Trần Hưng Đạo,"459/13 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",08:00 - 23:00,10.000 - 28.000,7.3,7.2,7.4,7.2,7.1,7.4,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao
San Fu Lou - Ẩm Thực Quảng Đông - Crescent Mall,"Tầng Trệt,  Tầng Trệt Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 190.000,7.1,7.5,6.4,6.9,7.3,7.6,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall
Ếch Xanh - Song Hành,"59 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,60.000 - 200.000,,6.1,5.7,5.6,6.2,6.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh
Tàu Hủ Xe Lam - Crescent Mall,"Tầng 3,  Tầng 3, Quầy 39 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",11:00 - 22:00,10.000 - 28.000,7.5,7.2,7.8,6.4,7.9,8.1,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall
San Fu Lou - Ẩm Thực Quảng Đông - Vincom Center,"Tầng Hầm 3,  Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 190.000,7.4,7.9,6.9,7.7,7.4,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Seoul Garden Vincom B,"Tầng Hầm 3,  B3-16A, Tầng B3, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.1,7.1,6.6,7.2,7.2,7.7,https://www.foody.vn/ho-chi-minh/seoul-garden-vincom-b
Nhi Nhi Quán - Đặc Sản Phan Rang,"164 Đường 20, P. 5, Quận Gò Vấp, TP. HCM",15:30 - 22:30,6.000 - 14.000,7.1,7.3,7.6,7.0,6.7,6.7,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
San Fu Lou - Ẩm Thực Quảng Đông - Quang Trung,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",11:00 - 22:00,45.000 - 250.000,7.3,7.3,7.3,6.7,7.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Seoul Garden AEON Mall Bình Tân,"Tầng 3,  Lô T23, Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:15,250.000 - 440.000,6.8,6.7,6.4,7.2,6.5,7.5,https://www.foody.vn/ho-chi-minh/seoul-garden-buffet-lau-nuong-aeon-mall-binh-tan
Nhi Nhi Quán 2 - Đặc Sản Phan Rang,"40/47 Lê Thị Hồng, P. 17, Quận Gò Vấp, TP. HCM",16:00 - 22:30,6.000 - 45.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-2-dac-san-phan-rang
Nhi Nhi Quán - Đặc Sản Phan Rang - Đường Số 20,"164 Đường Số 20, P. 5, Quận Gò Vấp, TP. HCM",16:30 - 23:00,6.000 - 14.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang-duong-so-20
Seoul Garden Vạn Hạnh Mall,"Tầng 5,  Tầng 5, 11 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 21:15,250.000 - 440.000,7.6,7.3,6.8,8.0,7.8,8.1,https://www.foody.vn/ho-chi-minh/seoul-garden-van-hanh-mall
San Fu Lou - Song Hành,"40 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,30.000 - 190.000,6.4,6.8,6.0,5.3,6.5,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-song-hanh
Bánh Mì Chim Chạy - Thịt Nướng Than,"Cổng Chính Chợ Thái Bình, P. Phạm Ngũ Lão, Quận 1, TP. HCM",17:00 - 23:30,17.000 - 20.000,7.8,8.4,7.9,7.9,7.1,7.6,https://www.foody.vn/ho-chi-minh/banh-mi-chim-chay
Seoul Garden Lotte Mart Quận 7,"Tầng 3,  Lô 03F, Tầng 3, TTTM Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.5,6.7,6.7,8.0,8.0,8.3,https://www.foody.vn/ho-chi-minh/seoul-garden-lotte-mart-quan-7
San Fu Lou - Dimsum & Hotpot - Song Hành,"40 Song Hành, KĐT. An Phú, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 10:00,30.000 - 190.000,,1.0,1.0,1.0,3.0,4.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-dimsum-hotpot-song-hanh
Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,6.8,7.0,6.5,7.7,6.2,6.7,https://www.foody.vn/ho-chi-minh/banh-mi-chim-chay-nguyen-thi-minh-khai
Seoul Garden 208,"Tầng 1,  208 Nam Kỳ Khởi Nghĩa, P. 6, Quận 3, TP. HCM",10:00 - 21:15,239.000 - 239.000,,5.0,5.7,5.5,6.0,6.7,https://www.foody.vn/ho-chi-minh/seoul-garden-208
San Fu Lou - Ẩm Thực Quảng Đông - Trường Sơn,"18A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",10:00 - 22:00,30.000 - 190.000,8.8,8.0,6.5,10.0,9.5,10.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-truong-son
San Fu Lou - Ẩm Thực Quảng Đông - Mplaza,"Tầng B1 Mplaza, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 21:00,30.000 - 190.000,9.0,10.0,7.0,10.0,10.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-mplaza
"Fumo - Steak, Pasta & Bar","220/1 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",11:30 - 15:00 | 17:30 - 22:30,40.000 - 365.000,8.1,8.3,7.9,8.5,8.2,7.9,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
Pong Quán - Nguyễn Gia Trí,"168/73 Nguyễn Gia Trí (Đường D2), P. 25, Quận Bình Thạnh, TP. HCM",10:00 - 21:00,4.000 - 15.000,6.8,7.2,7.3,6.7,6.4,6.7,https://www.foody.vn/ho-chi-minh/pong-quan-nguyen-gia-tri
Oven Maru Chicken - Ẩm Thực Hàn Quốc,"187 Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",10:00 - 22:00,40.000 - 300.000,8.2,8.7,7.4,8.5,8.2,8.2,https://www.foody.vn/ho-chi-minh/oven-maru-chicken-am-thuc-han-quoc
"Fumo - Steak, Pasta & Bar - Hồ Hảo Hớn","42/7 Hồ Hảo Hớn, P. Cô Giang, Quận 1, TP. HCM",15:00 - 22:00,40.000 - 365.000,8.6,8.0,9.0,8.0,9.0,9.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar-ho-hao-hon
Oven Maru Chicken - Nguyễn Qúy Cảnh,"16 Nguyễn Qúy Cảnh, P. An Phú, Tp. Thủ Đức, TP. HCM",11:00 - 22:00,40.000 - 300.000,9.6,9.8,9.8,9.3,9.8,9.3,https://www.foody.vn/ho-chi-minh/oven-maru-chicken-nguyen-quy-canh
Beefsteak Titi - Vũ Huy Tấn,"67/4/118 Vũ Huy Tấn (Đối Diện 50), P. 3, Quận Bình Thạnh, TP. HCM",10:00 - 21:30,55.000 - 110.000,6.5,7.1,7.0,6.1,6.1,6.4,https://www.foody.vn/ho-chi-minh/beefsteak-titi
Pong Quán - Cách Mạng Tháng 8,"590/15 Lô A Cách Mạng Tháng 8, P. 11, Quận 3, TP. HCM",15:00 - 22:00,4.000 - 15.000,7.0,7.2,7.2,6.9,6.9,6.7,https://www.foody.vn/ho-chi-minh/pong-quan-cach-mang-thang-8
NATRAJ - Indian Cuisine - Bùi Thị Xuân,"41 Bùi Thị Xuân, P. Phạm Ngũ Lão, Quận 1, TP. HCM",11:00 - 22:30,15.000 - 110.000,8.0,8.2,7.6,8.2,7.8,8.1,https://www.foody.vn/ho-chi-minh/natraj-mon-an-an-do
Pong Quán - Tăng Nhơn Phú,"203 Tăng Nhơn Phú, P. Tăng Nhơn Phú B, Tp. Thủ Đức, TP. HCM",15:30 - 21:00,4.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/pong-quan-tang-nhon-phu
Beefsteak TiTi - Hồ Hảo Hớn,"30 Hồ Hảo Hớn, P. Cô Giang, Quận 1, TP. HCM",10:00 - 22:00,55.000 - 110.000,6.4,6.8,6.8,5.7,5.8,6.8,https://www.foody.vn/ho-chi-minh/beefsteak-titi-ho-hao-hon
NATRAJ - Indian Cuisine - Nguyễn Cừ,"20 Nguyễn Cừ, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",10:30 - 22:30,22.000 - 407.000,9.7,9.7,10.0,10.0,9.3,9.3,https://www.foody.vn/ho-chi-minh/natraj-mon-an-an-do-nguyen-cu
Beefsteak Titi - Tôn Thất Hiệp,"14 Tôn Thất Hiệp, P. 13, Quận 11, TP. HCM",08:00 - 22:30,60.000 - 150.000,6.9,7.0,7.1,6.7,6.6,6.9,https://www.foody.vn/ho-chi-minh/beefsteak-titi-5
Beefsteak Titi - Trần Phú,"467 Trần Phú, P. 7, Quận 5, TP. HCM",09:30 - 21:30,55.000 - 110.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/beefsteak-titi-tran-phu
Cá Viên Chiên 176 - Đặng Văn Ngữ,"176 Đặng Văn Ngữ, Quận Phú Nhuận, TP. HCM",09:00 - 22:30,10.000 - 15.000,6.4,6.4,7.2,5.8,6.0,6.7,https://www.foody.vn/ho-chi-minh/an-vat-ca-vien-chien
Sườn Cây Nướng & Hải Sản - Cộng Hoà,"77 Cộng Hoà, P. 4, Quận Tân Bình, TP. HCM",10:00 - 23:00,15.000 - 250.000,7.3,7.4,6.8,7.3,7.4,7.4,https://www.foody.vn/ho-chi-minh/suon-cay-nuong-hai-san-cong-hoa
Sumo BBQ - Phan Xích Long - Buffet Nướng & Lẩu,"210 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",11:00 - 16:00 | 17:00 - 22:00,300.000 - 407.000,7.7,7.8,7.3,7.7,7.6,8.0,https://www.foody.vn/ho-chi-minh/sumo-bbq-phan-xich-long
Cá Viên Chiên 176 - Nguyễn Oanh,"36 Nguyễn Oanh, P. 7, Quận Gò Vấp, TP. HCM",Đang mở cửa  00:01 - 03:00 | 13:00 - 23:59,10.000 - 15.000,8.6,8.7,8.7,8.3,8.7,8.7,https://www.foody.vn/ho-chi-minh/ca-vien-chien-176-nguyen-oanh
Sườn Cây Nướng & Hải Sản - Phan Đăng Lưu,"Tầng 1, 128C Phan Đăng Lưu, P. 3, Quận Phú Nhuận, TP. HCM",11:00 - 22:00,150.000 - 250.000,7.3,7.6,6.6,7.4,7.3,7.5,https://www.foody.vn/ho-chi-minh/suon-cay-nuong-hai-san-phan-dang-luu
Cá Viên Chiên 176 - 923 Lê Văn Lương,"923 Đ. Lê Văn Lương, X. Phước Kiển, Huyện Nhà Bè, TP. HCM",Đang mở cửa  00:01 - 03:00 | 13:00 - 23:59,10.000 - 15.000,8.8,9.0,8.7,8.7,9.0,8.7,https://www.foody.vn/ho-chi-minh/ca-vien-chien-176-923-le-van-luong
Cá Viên Chiên 176 - Lãnh Binh Thăng,"191 Lãnh Binh Thăng, P. 12, Quận 11, TP. HCM",Đang mở cửa  00:01 - 03:00 | 13:00 - 23:59,10.000 - 15.000,8.1,9.0,9.0,6.7,7.0,8.7,https://www.foody.vn/ho-chi-minh/ca-vien-chien-176-lanh-binh-thang
Sumo BBQ - Lê Văn Sỹ - Buffet Nướng & Lẩu,"300 Lê Văn Sỹ, P. 1, Quận Tân Bình, TP. HCM",11:00 - 16:00 | 17:00 - 22:00,300.000 - 407.000,7.7,8.0,7.1,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/sumo-bbq-le-van-sy
Sườn Cây Nướng & Hải Sản - Hồ Biểu Chánh,"3A Hồ Biểu Chánh, P. 12, Quận Phú Nhuận, TP. HCM",15:00 - 23:00,150.000 - 250.000,7.3,7.6,7.0,7.4,7.2,7.4,https://www.foody.vn/ho-chi-minh/suon-cay-nuong-beer-ho-bieu-chanh
Dì Hồng - Bánh Tráng Cuốn Trộn,"23 Đường Số 11, Quận 4, TP. HCM",10:00 - 23:59,20.000 - 33.000,6.3,6.5,6.6,6.2,5.8,6.2,https://www.foody.vn/ho-chi-minh/di-hong-banh-trang-cuon-tron
Sumo BBQ - Quang Trung - Buffet Nướng & Lẩu,"50 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",05:00 - 22:00 | 11:00 - 16:00,300.000 - 407.000,7.4,7.9,6.5,7.5,7.5,7.5,https://www.foody.vn/ho-chi-minh/sumo-bbq-quang-trung-buffet-nuong-lau
Dì Hồng - Bánh Tráng Cuốn Chấm Me - Bà Hạt,"205 Bà Hạt, P. 9, Quận 10, TP. HCM",12:15 - 23:00,22.000 - 33.000,,5.6,5.8,5.2,5.3,6.1,https://www.foody.vn/ho-chi-minh/di-hong-banh-trang-cuon-cham-me-ba-hat
Sumo BBQ - Cao Thắng - Buffet Nướng & Lẩu,"59B Cao Thắng, Quận 3, TP. HCM",11:00 - 22:00,239.000 - 378.000,7.3,7.6,6.8,7.2,7.4,7.6,https://www.foody.vn/ho-chi-minh/sumo-bbq-cao-thang-buffet-nuong-lau
Gà Rán CP Five Star - Nguyễn Tri Phương,"245 Nguyễn Tri Phương, P. 5, Quận 1, TP. HCM",08:00 - 22:00,10.000 - 30.000,7.9,8.0,8.3,7.8,7.2,8.1,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-tran-hung-dao
Sườn Cây Nướng & Hải Sản - Kinh Dương Vương,"99 Kinh Dương Vương, P. 12, Quận 6, TP. HCM",11:00 - 22:30,20.000 - 200.000,7.4,7.4,6.5,7.4,7.6,7.9,https://www.foody.vn/ho-chi-minh/suon-cay-nuong-hai-san-kinh-duong-vuong
Gà Rán CP Five Star - 122 Đồng Nai,"122 Đồng Nai, P. 15, Quận 10, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-122-dong-nai
Sumo BBQ - SC VivoCity - Buffet Nướng & Lẩu,"Tầng 2,  Tầng 2 Lô 02 - 39 SC Vivo City, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",09:00 - 21:00,300.000 - 407.000,8.4,8.6,8.1,8.4,8.5,8.4,https://www.foody.vn/ho-chi-minh/sumo-bbq-buffet-nuong-lau-sc-vivocity
Sườn Cây Nướng & Hải Sản - Lý Thái Tổ,"217 Lý Thái Tổ, P. 9, Quận 10, TP. HCM",11:00 - 23:00,35.000 - 219.000,7.2,7.2,7.0,7.2,7.3,7.5,https://www.foody.vn/ho-chi-minh/suon-cay-nuong-beer-ly-thai-to
Gà Rán CP Five Star - 434 Nguyễn Văn Tăng,"434 Nguyễn Văn Tăng, P. Long Thạnh Mỹ, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-434-nguyen-van-tang
Sumo BBQ - Vincom Mega Mall Thảo Điền - Buffet Nướng & Lẩu,"Tầng 4,  Tầng 4, Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",11:00 - 22:00,300.000 - 400.000,8.2,8.4,7.6,8.4,8.3,8.4,https://www.foody.vn/ho-chi-minh/sumo-bbq-vincom-mega-mall-thao-dien-buffet-nuong-lau
Gà Rán CP Five Star - 1369 Nguyễn Duy Trinh,"1369 Nguyễn Duy Trinh, P. Trường Thạnh, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-1369-nguyen-duy-trinh
Gà Rán CP Five Star - 100A Tam Hà,"100A Tam Hà, P. Tam Phú, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-100a-tam-ha
Sumo BBQ - TTTM Đông Phương - Buffet Nướng & Lẩu,"TTTM Đông Phương, 685 Âu Cơ, P. Tân Thành, Quận Tân Phú, TP. HCM",10:00 - 22:00,300.000 - 500.000,8.7,8.8,8.6,8.5,8.8,8.8,https://www.foody.vn/ho-chi-minh/sumo-bbq-tttm-dong-phuong-buffet-nuong-lau
Gà Rán CP Five Star - 201 Linh Đông,"201 Linh Đông, KP. 4, P. Linh Đông, Tp. Thủ Đức, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-201-linh-dong
Gà Rán CP Five Star - Nguyễn Thị Triệu,"Nguyễn Thị Triệu, KP. 2, TT. Củ Chi, Huyện Củ Chi, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-nguyen-thi-trieu
Dim Tu Tac - Nhà Hàng Quảng Đông - Trần Hưng Đạo,"29B Trần Hưng Đạo, P. 6, Quận 5, TP. HCM",09:00 - 22:30,100.000 - 400.000,7.3,7.6,6.8,7.0,7.5,7.6,https://www.foody.vn/ho-chi-minh/dim-tu-tac-mon-quang-dong-tran-hung-dao
Gà Rán CP Five Star - 98 Trần Tử Bình,"98 Trần Tử Bình, X. Tân Thông Hội, Huyện Củ Chi, TP. HCM",09:00 - 22:00,Đang cập nhật,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-98-tran-tu-binh
Gà Rán CP Five Star - 6A Nguyễn Văn Khạ,"6A Nguyễn Văn Khạ, TT. Củ Chi, Huyện Củ Chi, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-6a-nguyen-van-kha
Dim Tu Tac - Nhà Hàng Quảng Đông - Tân Sơn Nhất Hotel,"Tầng 2, Tân Sơn Nhất Hotel, 202 Hoàng Văn Thụ, Quận Phú Nhuận, TP. HCM",09:00 - 22:00,100.000 - 500.000,7.4,7.6,6.7,7.1,7.5,8.0,https://www.foody.vn/ho-chi-minh/dim-tu-tac-nha-hang-quang-dong-tan-son-nhat-hotel
Sumo BBQ - Aeon Mall Bình Tân - Buffet Nướng & Lẩu,"Tầng Trệt,  Tầng Trệt Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông, Quận Bình Tân, TP. HCM",10:00 - 22:00,300.000 - 450.000,8.5,8.6,8.1,8.6,8.7,8.3,https://www.foody.vn/ho-chi-minh/sumo-bbq-aeon-mall-binh-tan-710660
Gà Rán CP Five Star - 50 Phan Văn Hớn,"50 Phan Văn Hớn, X. Xuân Thới Thượng, Huyện Hóc Môn, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-50-phan-van-hon
AKA House - Buffet Nướng & Lẩu Nhật Bản - Đồng Đen,"100 - 102 Đồng Đen, Quận Tân Bình, TP. HCM",11:00 - 21:00,100.000 - 300.000,6.3,6.1,6.1,6.0,6.7,6.8,https://www.foody.vn/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-dong-den
Gà Rán CP Five Star - 103 Phạm Hữu Lầu,"103 Phạm Hữu Lầu, P. Phú Mỹ, Quận 7, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-103-pham-huu-lau
Gà Rán CP Five Star - 487 Huỳnh Tấn Phát,"487 Huỳnh Tấn Phát, P. Tân Thuận Đông, Quận 7, TP. HCM",09:00 - 22:00,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/ga-ran-cp-five-star-487-huynh-tan-phat
AKA House - Buffet Nướng & Lẩu Nhật Bản - Vạn Hạnh Mall,"Tầng 6,  09 Tầng 6 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",11:00 - 21:00,100.000 - 300.000,6.3,6.1,6.2,5.9,6.5,6.9,https://www.foody.vn/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-van-hanh-mall
Sumo BBQ - Vạn Hạnh Mall - Buffet Nướng & Lẩu,"Tầng 5,  Tầng 5 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 22:00,269.000 - 389.000,8.2,8.5,7.5,8.1,8.7,8.4,https://www.foody.vn/ho-chi-minh/sumo-bbq-van-hanh-mall-buffet-nuong-lau
AKA House - Buffet Nướng & Lẩu Nhật Bản - Nguyễn Thị Thập,"384 Nguyễn Thị Thập, P. Tân Quy, Quận 7, TP. HCM",11:00 - 21:00,100.000 - 300.000,6.6,6.3,6.4,6.7,6.8,6.8,https://www.foody.vn/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-nguyen-thi-thap
Sumo BBQ - Phan Văn Trị - Buffet Nướng & Lẩu,"439A1 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",11:00 - 22:00,300.000 - 500.000,6.9,6.8,6.6,6.8,7.2,7.4,https://www.foody.vn/ho-chi-minh/sumo-bbq-phan-van-tri-buffet-nuong-lau
Bánh Tráng Nướng Đà Lạt NTP,"285 Hùng Vương, P 9, Quận 5, TP. HCM",16:30 - 23:00,7.000 - 19.000,7.3,7.6,7.4,7.1,7.0,7.6,https://www.foody.vn/ho-chi-minh/banh-trang-nuong-da-lat-ntp
